"Code de categorie";"Designation";"Agence";"Famille de categorie";"num_serie_materiels";"quantite_materiels";"designation_comp";"num_serie_composant"
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933309";"1";"chargeur";"005040422";
"OU6010602";"Comway A4";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"70403933310";"1";"chargeur";"012040422";
"OU6010602";"Comway A4";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"70403933310";"1";"Cliveuse";"CC 1082016159";
"OU6010602";"Comway A4";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"70403933310";"1";"batterie";"052203192F";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933311";"1";"chargeur";"008040422";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933311";"1";"Cliveuse";"CC 1082016257";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933311";"1";"batterie";"052203166F";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933313";"1";"Cliveuse";"CC 1082016144";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933313";"1";"chargeur";"009040422";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933314";"1";"Cliveuse";"CC 1082016168";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933314";"1";"batterie";"052203165F";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933314";"1";"chargeur";"006040422";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933316";"1";"chargeur";"001040422";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933316";"1";"Cliveuse";"CC 1082016174";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933316";"1";"batterie";"052203203F";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933317";"1";"batterie";"052203191F";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933317";"1";"chargeur";"018040422";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933317";"1";"Cliveuse";"CC 1082016409";
"OU6010602";"Comway A4";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"70403933318";"1";"chargeur";"017040422";
"OU6010602";"Comway A4";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"70403933318";"1";"Cliveuse";"CC 1082016154";
"OU6010602";"Comway A4";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"70403933318";"1";"batterie";"052203216F";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933319";"1";"Cliveuse";"CC 1082016289";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933319";"1";"batterie";"052203190F";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933319";"1";"chargeur";"019040422";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933320";"1";"chargeur";"004040422";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933320";"1";"Cliveuse";"CC 1082016163";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933320";"1";"batterie";"052203154F";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933322";"1";"Cliveuse";"CC 1082016179";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933322";"1";"batterie";"052203153F";
"OU6010602";"Comway A4";"21 Rue de la Dhuys, 93470 Coubron";"SOUDEUSE";"70403933322";"1";"chargeur";"011040422";
"OU6010602";"Comway A4";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"70403933323";"1";"Cliveuse";"CC 1082016299";
"OU6010602";"Comway A4";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"70403933323";"1";"batterie";"052203189F";
"OU6010602";"Comway A4";"7 Rue Jean Baptiste Say 21800 Chevigny ST Sauveur";"SOUDEUSE";"70403933323";"1";"chargeur";"013040422";
